Dates,Plants,Heights (cm),Leaf Count,,Dates,Titles
10/13/21,Control 1,4.6,3,,Wednesdays,Height/Leaf #
10/13/21,Control 2,6,4,,Mondays,Leaf #
10/13/21,Control 3,6.4,4,,,
10/13/21,Medium Drought 1,7.4,4,,,
10/13/21,Medium Drought 2,6.5,4,,,
10/13/21,Medium Drought 3,6.5,4,,,
10/13/21,Drought 1,7,4,,,
10/13/21,Drought 2,5.9,4,,,
10/13/21,Drought 3,4.6,4,,,
10/18/21,Control 1,,3,,,
10/18/21,Control 2,,4,,,
10/18/21,Control 3,,4,,,
10/18/21,Medium Drought 1,,4,,,
10/18/21,Medium Drought 2,,4,,,
10/18/21,Medium Drought 3,,4,,,
10/18/21,Drought 1,,4,,,
10/18/21,Drought 2,,4,,,
10/18/21,Drought 3,,4,,,
10/20/21,Control 1,4.6,3,,,
10/20/21,Control 2,6.2,4,,,
10/20/21,Control 3,6.4,4,,,
10/20/21,Medium Drought 1,7.4,4,,,
10/20/21,Medium Drought 2,6.5,4,,,
10/20/21,Medium Drought 3,6.5,4,,,
10/20/21,Drought 1,7.1,4,,,
10/20/21,Drought 2,5.9,4,,,
10/20/21,Drought 3,4.6,4,,,
10/25/21,Control 1,,3,,,
10/25/21,Control 2,,4,,,
10/25/21,Control 3,,4,,,
10/25/21,Medium Drought 1,,4,,,
10/25/21,Medium Drought 2,,4,,,
10/25/21,Medium Drought 3,,4,,,
10/25/21,Drought 1,,4,,,
10/25/21,Drought 2,,4,,,
10/25/21,Drought 3,,4,,,
10/27/21,Control 1,4.8,5,,,
10/27/21,Control 2,6.2,5,,,
10/27/21,Control 3,6.9,4,,,
10/27/21,Medium Drought 1,7.4,4,,,
10/27/21,Medium Drought 2,6.7,4,,,
10/27/21,Medium Drought 3,6.6,3,,,
10/27/21,Drought 1,7.3,4,,,
10/27/21,Drought 2,5.9,3,,,
10/27/21,Drought 3,4.7,4,,,
11/01/21,Control 1,,5,,,
11/01/21,Control 2,,5,,,
11/01/21,Control 3,,4,,,
11/01/21,Medium Drought 1,,4,,,
11/01/21,Medium Drought 2,,4,,,
11/01/21,Medium Drought 3,,3,,,
11/01/21,Drought 1,,4,,,
11/01/21,Drought 2,,3,,,
11/01/21,Drought 3,,4,,,
11/03/21,Control 1,12,5,,,
11/03/21,Control 2,14.4,5,,,
11/03/21,Control 3,10.9,4,,,
11/03/21,Medium Drought 1,16,4,,,
11/03/21,Medium Drought 2,15.8,4,,,
11/03/21,Medium Drought 3,12.6,3,,,
11/03/21,Drought 1,13,4,,,
11/03/21,Drought 2,12.7,3,,,
11/03/21,Drought 3,10.4,4,,,
11/8/21,Control 1,,5,,,
11/8/21,Control 2,,5,,,
11/8/21,Control 3,,4,,,
11/8/21,Medium Drought 1,,4,,,
11/8/21,Medium Drought 2,,4,,,
11/8/21,Medium Drought 3,,3,,,
11/8/21,Drought 1,,4,,,
11/8/21,Drought 2,,3,,,
11/8/21,Drought 3,,4,,,
11/10/21,Control 1,12,5,,,
11/10/21,Control 2,15,5,,,
11/10/21,Control 3,11.5,4,,,
11/10/21,Medium Drought 1,16,4,,,
11/10/21,Medium Drought 2,16,3,,,
11/10/21,Medium Drought 3,12.7,3,,,
11/10/21,Drought 1,14,3,,,
11/10/21,Drought 2,13,3,,,
11/10/21,Drought 3,12,4,,,
11/15/21,Control 1,,5,,,
11/15/21,Control 2,,5,,,
11/15/21,Control 3,,4,,,
11/15/21,Medium Drought 1,,4,,,
11/15/21,Medium Drought 2,,3,,,
11/15/21,Medium Drought 3,,3,,,
11/15/21,Drought 1,,3,,,
11/15/21,Drought 2,,3,,,
11/15/21,Drought 3,,4,,,
